timestamp,mission_id,mission_profile,altitude_ft,ambient_temp_c,throttle_pct,rpm,cht_c,egt_c,oil_pressure_bar,oil_temp_c,fuel_flow_lph,vibration_mm_s,battery_voltage_v,alternator_current_a,injection_timing_deg,boost_pressure_bar,manifold_pressure_kpa,cylinder_pressure_bar,engine_load_pct,estimated_power_hp,fuel_efficiency_index,thermal_efficiency_index,degradation_index,engine_health_pct,anomaly_score,anomaly_flag,fault_type,severity,failure_probability_24h,rul_hours,maintenance_advisory,data_quality_pct
2026-01-01T00:00:00,M001,Cruise,11785.7,21.33,62.88,3045.1,111.06,591.69,4.33,92.98,31.16,1.879,27.758,25.97,17.851,0.958,171.4,8.573,69.32,132.93,0.9932,0.8255,0.0563,94.37,0.0898,0,Normal,Normal,0.0101,1711.88,No action,96.98
2026-01-01T00:00:10,M001,Cruise,17784.9,27.93,53.39,2885.1,105.93,584.57,4.574,93.65,30.37,1.488,27.842,25.59,18.052,0.885,149.85,8.142,60.53,122.29,0.9941,0.8261,0.0491,95.09,0.048,0,Normal,Normal,0.0101,1704.48,No action,98.1
2026-01-01T00:00:20,M001,Rapid Throttle,10011.6,23.19,64.95,3098.9,108.03,608.5,4.46,96.31,31.45,1.671,27.626,25.88,17.901,0.948,168.22,8.445,70.48,134.59,0.9907,0.8228,0.0521,94.79,0.0593,0,Normal,Normal,0.0101,1700.92,No action,99.2
2026-01-01T00:00:30,M001,Hot Weather,13532.3,44.76,61.07,2989.2,118.91,634.69,4.486,106.62,30.33,1.826,27.724,25.81,17.962,0.863,158.67,8.438,67.17,128.4,0.9841,0.8159,0.0447,95.53,0.0619,0,Normal,Normal,0.0101,1724.69,No action,95.23
2026-01-01T00:00:40,M001,Rapid Throttle,14067.7,30.98,70.36,3179.2,111.49,629.99,4.265,102.58,32.26,1.812,27.872,25.61,17.759,1.017,173.76,8.831,72.58,140.49,0.9897,0.8221,0.0609,93.91,0.02,0,Normal,Normal,0.0102,1700.91,No action,98.13
2026-01-01T00:00:50,M001,Rapid Throttle,6071.9,24.96,76.59,3209.1,117.92,629.14,4.3,102.29,33.62,1.688,27.717,26.63,17.984,1.056,187.68,9.095,80.86,147.92,0.9915,0.8233,0.0461,95.39,0.0722,0,Normal,Normal,0.0101,1713.93,No action,96.73
2026-01-01T00:01:00,M001,Cruise,16404.7,17.75,66.2,3086.7,108.77,597.78,4.485,92.19,32.57,1.707,27.654,25.84,18.025,0.983,164.97,8.747,71.56,136.52,0.9923,0.8249,0.0643,93.57,0.0059,0,Normal,Normal,0.0102,1701.74,No action,96.07
2026-01-01T00:01:10,M001,Endurance,21184.1,15.84,66.18,3048.2,108.0,605.64,4.502,93.07,32.34,1.718,27.917,26.29,17.894,0.989,174.64,8.763,73.24,135.16,0.9883,0.8197,0.0349,96.51,0.0309,0,Normal,Normal,0.01,1728.7,No action,97.08
2026-01-01T00:01:20,M001,Rapid Throttle,12455.0,29.32,68.78,3154.2,116.85,622.45,4.399,100.92,33.26,1.708,27.853,25.98,18.016,0.933,181.97,8.923,71.7,138.96,0.9909,0.823,0.0505,94.95,0.0449,0,Normal,Normal,0.0101,1695.79,No action,95.34
2026-01-01T00:01:30,M001,Cruise,10923.4,25.76,60.59,3050.6,106.24,606.2,4.509,96.1,31.27,1.666,27.579,25.89,18.151,0.869,160.81,8.57,66.97,130.3,0.9931,0.8254,0.0574,94.26,0.0902,0,Normal,Normal,0.0101,1679.26,No action,97.27
2026-01-01T00:01:40,M001,Endurance,22989.8,9.99,56.04,2954.8,101.65,573.43,4.749,88.45,29.63,1.806,27.723,25.76,17.942,0.863,152.67,8.569,62.09,123.41,0.9865,0.8185,0.0499,95.01,0.08,0,Normal,Normal,0.0101,1693.73,No action,98.67
2026-01-01T00:01:50,M001,Cruise,13765.5,28.07,63.32,3091.4,112.91,604.66,4.4,99.53,30.78,1.645,27.778,26.45,17.893,0.844,161.7,8.824,69.56,133.53,0.9937,0.8258,0.0525,94.75,0.0252,0,Normal,Normal,0.0101,1722.86,No action,97.82
2026-01-01T00:02:00,M001,Rapid Throttle,14065.1,26.47,84.97,3432.5,122.57,655.6,4.374,105.08,37.79,1.702,27.731,27.25,18.111,1.062,196.34,9.454,85.25,156.82,0.9889,0.8216,0.0674,93.26,0.0931,0,Normal,Normal,0.0102,1671.3,No action,97.15
2026-01-01T00:02:10,M001,Hot Weather,14547.1,46.72,64.94,3067.6,121.53,636.86,4.368,109.31,33.16,1.679,27.571,26.33,18.035,0.954,168.52,8.406,70.84,132.48,0.9829,0.8151,0.0547,94.53,0.1105,0,Normal,Normal,0.0101,1706.98,No action,96.85
2026-01-01T00:02:20,M001,High Altitude,23180.6,-11.65,61.25,2961.7,107.02,593.96,4.58,91.27,31.85,1.492,27.722,25.67,18.141,0.852,164.78,8.663,66.43,129.95,0.989,0.8212,0.0538,94.62,0.0726,0,Normal,Normal,0.0101,1696.02,No action,99.2
